Name	Totalcases	Activecases	Totaldeaths	Totalrecovered	Totaltests	DeathsPer1M	TestsPer1M	Newcases	Newdeaths	Newrecovered	
France	40,138,560  	0           	167,642     	39,970,918  	271,490,188 	2,556       	4,139,547   	N/A	N/A	N/A	
UK	24,902,971  	0           	232,112     	24,670,859  	522,526,476 	3,389       	7,628,357   	N/A	N/A	3,927       	
Russia	24,009,604  	182,535     	402,399     	23,424,670  	273,400,000 	2,760       	1,875,095   	N/A	N/A	N/A	
Italy	26,719,511  	171,192     	196,348     	26,351,971  	280,517,410 	3,258       	4,654,904   	N/A	N/A	N/A	
Germany	38,823,286  	399,992     	182,694     	38,240,600  	122,332,384 	2,178       	1,458,359   	N/A	N/A	N/A	
Spain	13,914,811  	30,634      	121,760     	13,762,417  	471,036,328 	2,606       	10,082,298  	N/A	N/A	N/A	
Poland	6,661,011   	N/A         	120,581     	N/A         	39,295,084  	3,195       	1,041,211   	72          	N/A	N/A         	
Netherlands	8,634,822   	350         	22,992      	8,611,480   	25,984,435  	1,336       	1,509,718   	N/A	N/A	N/A	
Ukraine	5,557,995   	0           	112,418     	5,445,577   	32,603,805  	2,603       	754,855     	N/A	N/A	N/A	
Belgium	4,859,804   	1,820       	34,376      	4,823,608   	37,454,182  	2,946       	3,209,915   	N/A	N/A	167         	
USA	111,629,790 	999,179     	1,217,085   	109,413,526 	1,186,765,074	3,635       	3,544,643   	1,019       	2           	1,332       	
Mexico	7,702,809   	467,986     	334,958     	6,899,865   	20,013,810  	2,546       	152,124     	N/A	N/A	N/A	
Canada	4,936,603   	13,365      	58,560      	4,864,678   	66,572,774  	1,525       	1,734,189   	N/A	N/A	645         	
Cuba	1,115,243   	66          	8,530       	1,106,647   	14,401,151  	754         	1,273,801   	N/A	N/A	N/A	
Costa Rica	1,238,883   	N/A         	9,428       	N/A         	4,659,757   	1,819       	899,158     	N/A	N/A	N/A         	
Panama	1,059,893   	64          	8,727       	1,051,102   	7,882,622   	1,962       	1,772,585   	N/A	N/A	N/A	
India	45,030,467  	N/A         	533,499     	N/A         	935,879,495 	379         	665,334     	N/A	N/A	N/A         	
Turkey	17,232,066  	N/A         	102,174     	N/A         	162,743,369 	1,194       	1,902,052   	N/A	N/A	N/A         	
Iran	7,626,527   	N/A         	146,799     	N/A         	57,320,267  	1,707       	666,338     	N/A	N/A	N/A         	
Indonesia	6,829,087   	19,921      	162,062     	6,647,104   	114,158,919 	581         	408,975     	82          	N/A	N/A	
Philippines	4,140,383   	6,138       	66,864      	4,067,381   	36,102,746  	594         	320,888     	N/A	N/A	N/A	
Japan	33,803,572  	N/A         	74,694      	N/A         	100,414,883 	595         	799,578     	N/A	N/A	N/A         	
Israel	4,841,772   	30,592      	12,707      	4,798,473   	41,373,364  	1,363       	4,436,346   	N/A	N/A	N/A	
Malaysia	5,276,312   	8,011       	37,348      	5,230,953   	68,580,916  	1,126       	2,066,869   	N/A	N/A	N/A	
Thailand	4,767,700   	40,495      	34,569      	4,692,636   	17,273,454  	493         	246,488     	N/A	N/A	N/A	
